shared-library,"/usr/local/bin/node",0x100001280,0x1003e169d
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Carbon",0x7fff813d9fd0,0x7fff813d9fd0
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff81fcea1a,0x7fff81fcebbe
shared-library,"/System/Library/Frameworks/Foundation.framework/Versions/C/Foundation",0x7fff810db0d0,0x7fff8134a952
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/CoreServices",0x7fff88956fc0,0x7fff88956fc0
shared-library,"/System/Library/Frameworks/ApplicationServices.framework/Versions/A/ApplicationServices",0x7fff84ff1fb0,0x7fff84ff1fb0
shared-library,"/usr/lib/libstdc++.6.dylib",0x7fff883ec910,0x7fff8842b692
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff80af7ce0,0x7fff80c97bdc
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/CommonPanels.framework/Versions/A/CommonPanels",0x7fff85697857,0x7fff85699fd2
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/Help.framework/Versions/A/Help",0x7fff84bf2f60,0x7fff84bf517a
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/HIToolbox.framework/Versions/A/HIToolbox",0x7fff88467e30,0x7fff886c4433
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/ImageCapture.framework/Versions/A/ImageCapture",0x7fff8aeac4c0,0x7fff8aeb7b4a
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/Ink.framework/Versions/A/Ink",0x7fff8c04e120,0x7fff8c0c1d30
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/OpenScripting.framework/Versions/A/OpenScripting",0x7fff832fb280,0x7fff8330df7f
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/Print.framework/Versions/A/Print",0x7fff889bb9f7,0x7fff889bc710
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/SecurityHI.framework/Versions/A/SecurityHI",0x7fff8cfab36c,0x7fff8cfac7e2
